FromAccount,ToAccount,Amount,IsFraud,IsCycleFraud
1,49999,46083.92,0,0
2,50000,729344.84,0,0
3,50001,252234.22,0,0
4,50002,441247.78,0,0
5,50003,161790.31,0,0
6,50004,291265.93,0,0
7,50005,144189.99,0,0
8,50006,334756.33,0,0
9,50007,155845.55,0,0
10,50008,610703.98,0,0
11,50009,839435.72,0,0
12,50010,1012371.16,0,0
13,50011,790426.53,0,0
14,50012,6942306.22,0,0
15,50013,89377.22,0,0
16,50014,1418846.59,0,0
17,50015,528892.75,0,0
18,50016,508649.37,0,0
19,50017,647372.5,0,0
20,50018,222502.56,0,0
21,50019,5578.26,0,0
22,50020,1681452.57,0,0
23,50021,274751.04,0,0
24,50022,461808.45,0,0
25,50023,3377581.93,0,0
26,50024,907172.96,0,0
27,50025,1215419.52,0,0
28,50026,485210.39,0,0
29,50027,199302.09,0,0
30,50028,924015.86,0,0
31,50029,410191.79,0,0
32,50030,333574.61,0,0
33,50031,138979.61,0,0
34,50032,505916.06,0,0
35,50033,1037791.73,0,0
36,50034,1453100.04,0,0
37,50035,501296.29,0,0
38,50036,196715.85,0,0
39,50037,895262.11,0,0
40,50038,1349291.42,0,0
41,50039,119465.51,0,0
42,50040,108147.34,0,0
43,50041,692978.8,0,0
44,50042,805898.81,0,0
45,50043,1131553.55,0,0
46,50044,538437.67,0,0
47,50045,95643.19,0,0
48,50046,57003.72,0,0
49,50047,115535.52,1,0
50,50048,167530.81,0,0
51,50049,673716.45,0,0
52,50050,79320.05,0,0
53,50051,293448.91,0,0
54,50052,159828.97,0,0
55,50053,91077.09,0,0
56,50054,130145.62,0,0
57,50055,42159.76,0,0
58,50056,420819.08,0,0
59,50057,925818.74,0,0
60,50058,1086343.57,0,0
61,50059,403352.18,0,0
62,50060,1303727.43,0,0
63,50061,3130948.42,0,0
64,50062,538911.66,0,0
65,50063,338830.96,0,0
66,50064,10000000.0,0,0
67,50065,1048476.8,0,0
68,50066,61438.72,0,0
69,50067,699094.16,0,0
70,50068,571586.19,0,0
71,50069,355628.7,0,0
72,50070,557085.25,0,0
73,50071,1798998.54,0,0
74,50072,63946.74,0,0
75,50073,1075345.51,0,0
76,50074,728013.42,0,0
77,50075,573471.36,0,0
78,50076,278527.6,0,0
79,50077,1603727.29,0,0
80,50078,1620977.06,0,0
81,50079,344161.12,0,0
82,50080,941231.48,0,0
83,50081,40507.71,0,0
84,50082,636631.95,0,0
85,50083,328892.35,0,0
86,50084,138159.48,0,0
87,50085,58442.81,0,0
88,50086,785137.79,0,0
